stockist_code,year,month,month_label,pdf_file_count,total_pages,single_page_pdf_count,multi_page_pdf_count,unreadable_pdf_count,page_1_count,page_2_count,page_3_count,page_4_plus_count,max_pages_in_a_pdf,avg_pages_per_pdf
10004226,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10004226,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10004353,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10004353,2026,1,2026-01,1,1,1,0,0,1,0,0,0,1,1.0
10004353,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10004353,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10004373,2025,12,2025-12,1,2,0,1,0,0,1,0,0,2,2.0
10004429,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10004436,2026,1,2026-01,1,4,0,1,0,0,0,0,1,4,4.0
10004436,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10004454,2025,12,2025-12,18,48,12,6,0,12,1,0,5,11,2.67
10004454,2026,1,2026-01,9,9,9,0,0,9,0,0,0,1,1.0
10004454,2026,2,2026-02,16,28,14,2,0,14,0,1,1,11,1.75
10004454,2026,3,2026-03,6,7,5,1,0,5,1,0,0,2,1.17
10004460,2025,12,2025-12,1,16,0,1,0,0,0,0,1,16,16.0
10004649,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10004665,2025,12,2025-12,2,4,0,2,0,0,2,0,0,2,2.0
10004665,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10004665,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10004665,2026,3,2026-03,1,2,0,1,0,0,1,0,0,2,2.0
10004738,2025,12,2025-12,1,7,0,1,0,0,0,0,1,7,7.0
10004842,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10004874,2025,12,2025-12,2,25,0,2,0,0,0,0,2,20,12.5
10004874,2026,1,2026-01,1,20,0,1,0,0,0,0,1,20,20.0
10004874,2026,2,2026-02,1,5,0,1,0,0,0,0,1,5,5.0
10004979,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10004979,2026,1,2026-01,5,5,5,0,0,5,0,0,0,1,1.0
10004979,2026,2,2026-02,4,4,4,0,0,4,0,0,0,1,1.0
10004979,2026,3,2026-03,2,2,2,0,0,2,0,0,0,1,1.0
10005292,2025,12,2025-12,2,10,0,2,0,0,0,0,2,6,5.0
10005292,2026,1,2026-01,4,15,0,4,0,0,0,1,3,4,3.75
10005292,2026,2,2026-02,5,20,0,5,0,0,0,0,5,4,4.0
10005292,2026,3,2026-03,3,11,0,3,0,0,0,1,2,4,3.67
10005726,2025,12,2025-12,190,296,154,36,0,154,18,2,16,11,1.56
10005726,2026,1,2026-01,187,270,158,29,0,158,12,6,11,14,1.44
10005726,2026,2,2026-02,157,206,141,16,0,141,5,3,8,13,1.31
10005726,2026,3,2026-03,60,60,60,0,0,60,0,0,0,1,1.0
10005950,2025,12,2025-12,7,7,7,0,0,7,0,0,0,1,1.0
10005950,2026,1,2026-01,6,61,5,1,0,5,0,0,1,56,10.17
10005950,2026,2,2026-02,4,4,4,0,0,4,0,0,0,1,1.0
10005950,2026,3,2026-03,5,111,3,2,0,3,0,0,2,54,22.2
10006006,2026,1,2026-01,2,46,0,2,0,0,0,0,2,23,23.0
10006006,2026,2,2026-02,2,11,0,2,0,0,0,1,1,8,5.5
10006006,2026,3,2026-03,2,12,0,2,0,0,0,0,2,8,6.0
10006035,2025,12,2025-12,34,38,30,4,0,30,4,0,0,2,1.12
10006035,2026,1,2026-01,32,36,28,4,0,28,4,0,0,2,1.12
10006035,2026,2,2026-02,17,19,15,2,0,15,2,0,0,2,1.12
10006044,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10006044,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10006073,2026,2,2026-02,2,6,1,1,0,1,0,0,1,5,3.0
10006073,2026,3,2026-03,2,6,1,1,0,1,0,0,1,5,3.0
10006080,2025,12,2025-12,10,11,9,1,0,9,1,0,0,2,1.1
10006080,2026,1,2026-01,9,10,8,1,0,8,1,0,0,2,1.11
10006080,2026,3,2026-03,9,10,8,1,0,8,1,0,0,2,1.11
10006110,2026,1,2026-01,4,33,1,3,0,1,0,0,3,14,8.25
10006110,2026,2,2026-02,4,28,1,3,0,1,0,0,3,12,7.0
10006151,2026,3,2026-03,8,10,6,2,0,6,2,0,0,2,1.25
10006233,2026,1,2026-01,2,7,0,2,0,0,0,1,1,4,3.5
10006233,2026,2,2026-02,2,7,0,2,0,0,0,1,1,4,3.5
10006233,2026,3,2026-03,2,7,0,2,0,0,0,1,1,4,3.5
10006256,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10006256,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10006279,2025,12,2025-12,3,11,0,3,0,0,0,2,1,5,3.67
10006279,2026,1,2026-01,2,8,0,2,0,0,0,1,1,5,4.0
10006279,2026,2,2026-02,2,7,0,2,0,0,0,1,1,4,3.5
10006279,2026,3,2026-03,2,7,0,2,0,0,0,1,1,4,3.5
10006364,2025,12,2025-12,17,17,17,0,0,17,0,0,0,1,1.0
10006364,2026,1,2026-01,17,17,17,0,0,17,0,0,0,1,1.0
10006364,2026,2,2026-02,17,17,17,0,0,17,0,0,0,1,1.0
10006364,2026,3,2026-03,17,17,17,0,0,17,0,0,0,1,1.0
10006387,2025,12,2025-12,2,12,0,2,0,0,0,0,2,8,6.0
10006387,2026,2,2026-02,2,12,0,2,0,0,0,0,2,8,6.0
10006389,2025,12,2025-12,2,16,0,2,0,0,0,0,2,8,8.0
10006389,2026,2,2026-02,1,8,0,1,0,0,0,0,1,8,8.0
10006389,2026,3,2026-03,1,8,0,1,0,0,0,0,1,8,8.0
10006393,2026,1,2026-01,12,12,12,0,0,12,0,0,0,1,1.0
10006393,2026,2,2026-02,12,12,12,0,0,12,0,0,0,1,1.0
10006415,2025,12,2025-12,2,6,0,2,0,0,0,2,0,3,3.0
10006705,2026,1,2026-01,2,12,0,2,0,0,0,0,2,6,6.0
10006705,2026,2,2026-02,3,18,0,3,0,0,0,0,3,6,6.0
10006705,2026,3,2026-03,1,6,0,1,0,0,0,0,1,6,6.0
10006882,2026,1,2026-01,2,7,0,2,0,0,0,1,1,4,3.5
10006882,2026,2,2026-02,2,9,0,2,0,0,0,0,2,5,4.5
10006882,2026,3,2026-03,2,9,0,2,0,0,0,0,2,5,4.5
10006883,2026,3,2026-03,1,3,0,1,0,0,0,1,0,3,3.0
10006933,2026,1,2026-01,4,7,1,3,0,1,3,0,0,2,1.75
10006933,2026,2,2026-02,3,6,0,3,0,0,3,0,0,2,2.0
10006933,2026,3,2026-03,2,4,0,2,0,0,2,0,0,2,2.0
10007074,2025,12,2025-12,3,6,0,3,0,0,3,0,0,2,2.0
10007074,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10007074,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10007091,2026,2,2026-02,2,11,0,2,0,0,0,0,2,7,5.5
10007091,2026,3,2026-03,4,23,0,4,0,0,0,0,4,7,5.75
10007100,2025,12,2025-12,2,10,0,2,0,0,0,0,2,5,5.0
10007100,2026,1,2026-01,2,10,0,2,0,0,0,0,2,5,5.0
10007100,2026,2,2026-02,2,10,0,2,0,0,0,0,2,5,5.0
10007100,2026,3,2026-03,1,5,0,1,0,0,0,0,1,5,5.0
10007108,2026,1,2026-01,2,16,0,2,0,0,0,0,2,8,8.0
10007108,2026,2,2026-02,2,16,0,2,0,0,0,0,2,8,8.0
10007108,2026,3,2026-03,2,16,0,2,0,0,0,0,2,8,8.0
10007140,2026,1,2026-01,2,8,0,2,0,0,0,0,2,4,4.0
10007169,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10007169,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10007169,2026,3,2026-03,1,2,0,1,0,0,1,0,0,2,2.0
10007170,2026,3,2026-03,1,5,0,1,0,0,0,0,1,5,5.0
10007172,2025,12,2025-12,1,2,0,1,0,0,1,0,0,2,2.0
10007172,2026,1,2026-01,2,4,0,2,0,0,2,0,0,2,2.0
10007172,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10007187,2026,2,2026-02,1,7,0,1,0,0,0,0,1,7,7.0
10007267,2025,12,2025-12,2,9,0,2,0,0,0,0,2,5,4.5
10007267,2026,2,2026-02,1,5,0,1,0,0,0,0,1,5,5.0
10007267,2026,3,2026-03,2,8,0,2,0,0,0,0,2,4,4.0
10007284,2026,1,2026-01,1,7,0,1,0,0,0,0,1,7,7.0
10007325,2025,12,2025-12,2,8,0,2,0,0,0,0,2,4,4.0
10007327,2026,1,2026-01,2,3,1,1,0,1,1,0,0,2,1.5
10007327,2026,3,2026-03,2,3,1,1,0,1,1,0,0,2,1.5
10007330,2025,12,2025-12,1,16,0,1,0,0,0,0,1,16,16.0
10007330,2026,1,2026-01,1,16,0,1,0,0,0,0,1,16,16.0
10007330,2026,2,2026-02,1,16,0,1,0,0,0,0,1,16,16.0
10007330,2026,3,2026-03,1,16,0,1,0,0,0,0,1,16,16.0
10007369,2025,12,2025-12,1,29,0,1,0,0,0,0,1,29,29.0
10007377,2026,3,2026-03,2,11,0,2,0,0,0,0,2,7,5.5
10007406,2025,12,2025-12,2,25,0,2,0,0,0,0,2,14,12.5
10007406,2026,3,2026-03,1,2,0,1,0,0,1,0,0,2,2.0
10007421,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10007421,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10007447,2025,12,2025-12,1,3,0,1,0,0,0,1,0,3,3.0
10007447,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10007447,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10007447,2026,3,2026-03,2,3,1,1,0,1,1,0,0,2,1.5
10007478,2026,1,2026-01,4,5,3,1,0,3,1,0,0,2,1.25
10007478,2026,2,2026-02,4,5,3,1,0,3,1,0,0,2,1.25
10007502,2026,1,2026-01,1,27,0,1,0,0,0,0,1,27,27.0
10007502,2026,2,2026-02,1,25,0,1,0,0,0,0,1,25,25.0
10007502,2026,3,2026-03,1,28,0,1,0,0,0,0,1,28,28.0
10007511,2025,12,2025-12,2,2,2,0,0,2,0,0,0,1,1.0
10007511,2026,1,2026-01,1,7,0,1,0,0,0,0,1,7,7.0
10007511,2026,3,2026-03,2,8,0,2,0,0,1,0,1,6,4.0
10007529,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10007529,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10007547,2026,1,2026-01,3,3,3,0,0,3,0,0,0,1,1.0
10007547,2026,2,2026-02,5,5,5,0,0,5,0,0,0,1,1.0
10007566,2025,12,2025-12,1,7,0,1,0,0,0,0,1,7,7.0
10007566,2026,1,2026-01,1,7,0,1,0,0,0,0,1,7,7.0
10007566,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10007571,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10007652,2025,12,2025-12,1,5,0,1,0,0,0,0,1,5,5.0
10007652,2026,1,2026-01,2,6,1,1,0,1,0,0,1,5,3.0
10007652,2026,2,2026-02,2,6,1,1,0,1,0,0,1,5,3.0
10007655,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10007674,2026,1,2026-01,2,6,0,2,0,0,0,2,0,3,3.0
10007674,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10007820,2025,12,2025-12,1,5,0,1,0,0,0,0,1,5,5.0
10007820,2026,1,2026-01,1,4,0,1,0,0,0,0,1,4,4.0
10007820,2026,3,2026-03,1,4,0,1,0,0,0,0,1,4,4.0
10007828,2026,1,2026-01,1,4,0,1,0,0,0,0,1,4,4.0
10007828,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10007828,2026,3,2026-03,1,4,0,1,0,0,0,0,1,4,4.0
10007948,2025,12,2025-12,2,2,2,0,0,2,0,0,0,1,1.0
10007948,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10007948,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008010,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008010,2026,3,2026-03,2,8,1,1,0,1,0,0,1,7,4.0
10008034,2025,12,2025-12,1,2,0,1,0,0,1,0,0,2,2.0
10008034,2026,1,2026-01,2,5,0,2,0,0,1,1,0,3,2.5
10008034,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10008062,2026,2,2026-02,3,3,3,0,0,3,0,0,0,1,1.0
10008062,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008129,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008129,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008171,2026,2,2026-02,10,11,9,1,0,9,1,0,0,2,1.1
10008188,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10008188,2026,3,2026-03,1,2,0,1,0,0,1,0,0,2,2.0
10008249,2025,12,2025-12,2,7,1,1,0,1,0,0,1,6,3.5
10008249,2026,1,2026-01,2,8,1,1,0,1,0,0,1,7,4.0
10008249,2026,2,2026-02,2,6,1,1,0,1,0,0,1,5,3.0
10008249,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008324,2025,12,2025-12,1,9,0,1,0,0,0,0,1,9,9.0
10008324,2026,1,2026-01,1,9,0,1,0,0,0,0,1,9,9.0
10008324,2026,2,2026-02,1,9,0,1,0,0,0,0,1,9,9.0
10008338,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008338,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008367,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008367,2026,3,2026-03,4,4,4,0,0,4,0,0,0,1,1.0
10008431,2026,2,2026-02,2,8,0,2,0,0,0,0,2,4,4.0
10008431,2026,3,2026-03,1,4,0,1,0,0,0,0,1,4,4.0
10008432,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10008432,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008539,2025,12,2025-12,1,4,0,1,0,0,0,0,1,4,4.0
10008539,2026,1,2026-01,2,5,1,1,0,1,0,0,1,4,2.5
10008539,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10008597,2026,1,2026-01,1,1,1,0,0,1,0,0,0,1,1.0
10008597,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008620,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10008662,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10008662,2026,3,2026-03,1,3,0,1,0,0,0,1,0,3,3.0
10008694,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008737,2026,1,2026-01,1,13,0,1,0,0,0,0,1,13,13.0
10008737,2026,2,2026-02,4,7,2,2,0,2,1,1,0,3,1.75
10008737,2026,3,2026-03,4,39,0,4,0,0,0,1,3,16,9.75
10008777,2025,12,2025-12,1,5,0,1,0,0,0,0,1,5,5.0
10008831,2026,2,2026-02,1,7,0,1,0,0,0,0,1,7,7.0
10008845,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10008845,2026,3,2026-03,1,1,1,0,0,1,0,0,0,1,1.0
10008967,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10009005,2026,1,2026-01,1,1,1,0,0,1,0,0,0,1,1.0
10009005,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10009022,2025,12,2025-12,5,12,1,4,0,1,1,3,0,3,2.4
10009022,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10009022,2026,2,2026-02,6,10,3,3,0,3,2,1,0,3,1.67
10009022,2026,3,2026-03,2,5,0,2,0,0,1,1,0,3,2.5
10009106,2026,2,2026-02,1,11,0,1,0,0,0,0,1,11,11.0
10009128,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10009169,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10009169,2026,3,2026-03,1,4,0,1,0,0,0,0,1,4,4.0
10009266,2026,1,2026-01,7,9,6,1,0,6,0,1,0,3,1.29
10009266,2026,2,2026-02,7,9,6,1,0,6,0,1,0,3,1.29
10009266,2026,3,2026-03,7,9,6,1,0,6,0,1,0,3,1.29
10009327,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10009399,2026,2,2026-02,1,4,0,1,0,0,0,0,1,4,4.0
10009415,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10009415,2026,1,2026-01,2,4,1,1,0,1,0,1,0,3,2.0
10009415,2026,2,2026-02,1,2,0,1,0,0,1,0,0,2,2.0
10009547,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10009573,2026,2,2026-02,1,6,0,1,0,0,0,0,1,6,6.0
10009573,2026,3,2026-03,1,6,0,1,0,0,0,0,1,6,6.0
10009583,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10009583,2026,3,2026-03,1,2,0,1,0,0,1,0,0,2,2.0
10009601,2025,12,2025-12,2,2,2,0,0,2,0,0,0,1,1.0
10009605,2026,3,2026-03,1,5,0,1,0,0,0,0,1,5,5.0
10009607,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10009622,2025,12,2025-12,1,2,0,1,0,0,1,0,0,2,2.0
10009635,2026,2,2026-02,2,5,0,2,0,0,1,1,0,3,2.5
10009794,2026,3,2026-03,1,15,0,1,0,0,0,0,1,15,15.0
10009813,2025,12,2025-12,2,7,0,2,0,0,0,1,1,4,3.5
10009813,2026,3,2026-03,2,5,0,2,0,0,1,1,0,3,2.5
10009833,2026,2,2026-02,1,3,0,1,0,0,0,1,0,3,3.0
10009847,2026,1,2026-01,4,6,2,2,0,2,2,0,0,2,1.5
10009847,2026,2,2026-02,11,16,6,5,0,6,5,0,0,2,1.45
10009847,2026,3,2026-03,15,21,9,6,0,9,6,0,0,2,1.4
10009886,2026,2,2026-02,1,1,1,0,0,1,0,0,0,1,1.0
10009886,2026,3,2026-03,4,4,4,0,0,4,0,0,0,1,1.0
10009893,2025,12,2025-12,81,95,67,14,0,67,14,0,0,2,1.17
10009893,2026,1,2026-01,41,46,36,5,0,36,5,0,0,2,1.12
10009893,2026,2,2026-02,35,39,31,4,0,31,4,0,0,2,1.11
10009893,2026,3,2026-03,36,276,32,4,0,32,2,0,2,120,7.67
10009895,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
10009900,2025,12,2025-12,23,23,23,0,0,23,0,0,0,1,1.0
10009900,2026,1,2026-01,15,15,15,0,0,15,0,0,0,1,1.0
10009900,2026,2,2026-02,24,24,24,0,0,24,0,0,0,1,1.0
10009900,2026,3,2026-03,9,9,9,0,0,9,0,0,0,1,1.0
10010354,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10010406,2026,1,2026-01,2,12,0,2,0,0,0,0,2,6,6.0
10010406,2026,2,2026-02,1,6,0,1,0,0,0,0,1,6,6.0
10010654,2026,1,2026-01,2,6,0,2,0,0,0,2,0,3,3.0
10010654,2026,2,2026-02,2,6,0,2,0,0,0,2,0,3,3.0
10010654,2026,3,2026-03,2,6,0,2,0,0,0,2,0,3,3.0
10010797,2026,1,2026-01,1,23,0,1,0,0,0,0,1,23,23.0
10010805,2025,12,2025-12,11,13,9,2,0,9,2,0,0,2,1.18
10010805,2026,1,2026-01,2,3,1,1,0,1,1,0,0,2,1.5
10010805,2026,2,2026-02,4,5,3,1,0,3,1,0,0,2,1.25
10010805,2026,3,2026-03,4,5,3,1,0,3,1,0,0,2,1.25
10010957,2026,1,2026-01,7,11,3,4,0,3,4,0,0,2,1.57
10010957,2026,2,2026-02,10,14,6,4,0,6,4,0,0,2,1.4
10010957,2026,3,2026-03,5,7,3,2,0,3,2,0,0,2,1.4
10011043,2025,12,2025-12,2,6,0,2,0,0,0,2,0,3,3.0
10011043,2026,1,2026-01,2,6,0,2,0,0,0,2,0,3,3.0
10011043,2026,2,2026-02,5,15,0,5,0,0,0,5,0,3,3.0
10011043,2026,3,2026-03,3,9,0,3,0,0,0,3,0,3,3.0
10011044,2026,1,2026-01,1,2,0,1,0,0,1,0,0,2,2.0
10011044,2026,2,2026-02,4,8,0,4,0,0,4,0,0,2,2.0
10011044,2026,3,2026-03,5,10,0,5,0,0,5,0,0,2,2.0
10011152,2026,1,2026-01,118,223,36,82,0,36,59,23,0,3,1.89
10011152,2026,2,2026-02,178,371,52,126,0,52,90,34,2,27,2.08
10011152,2026,3,2026-03,98,186,29,69,0,29,50,19,0,3,1.9
10011313,2026,2,2026-02,3,14,1,2,0,1,1,0,1,11,4.67
10011313,2026,3,2026-03,2,12,1,1,0,1,0,0,1,11,6.0
10011402,2026,1,2026-01,6,25,0,6,0,0,0,0,6,5,4.17
10011402,2026,2,2026-02,9,38,0,9,0,0,0,0,9,5,4.22
10011402,2026,3,2026-03,4,17,0,4,0,0,0,0,4,5,4.25
10011428,2025,12,2025-12,1,1,1,0,0,1,0,0,0,1,1.0
